split,train
brier_score,0.1792523052316912
expected_calibration_error,0.3457593105701614

bin_index,bin_lower,bin_upper,count,mean_predicted_probability,observed_default_rate,absolute_gap
0,0.0,0.1,0,0.0,0.0,0.0
1,0.1,0.2,35,0.19037660593360167,0.0,0.19037660593360167
2,0.2,0.30000000000000004,3962,0.26877253959932695,0.0,0.26877253959932695
3,0.30000000000000004,0.4,11506,0.3521609664426916,0.0009560229445506692,0.35120494349814096
4,0.4,0.5,10679,0.44732046277959825,0.03033991946811499,0.41698054331148326
5,0.5,0.6000000000000001,6688,0.5442640655582069,0.19841507177033493,0.34584899378787204
6,0.6000000000000001,0.7000000000000001,2085,0.6336152399393777,0.5323741007194245,0.10124113921995326
7,0.7000000000000001,0.8,45,0.710872461875392,0.9777777777777777,0.26690531590238575
8,0.8,0.9,0,0.0,0.0,0.0
9,0.9,1.0,0,0.0,0.0,0.0
